Country code,TWUK content template label,GOVUK FTA URL,EU has agreement,UK has agreement,Mendel agreement label
CO,ANDEAN_COUNTRIES,https://www.gov.uk/government/collections/uk-andean-countries-trade-agreement,TRUE,TRUE,ANDEAN-COUNTRIES
EC,ANDEAN_COUNTRIES_RATIFIED,https://www.gov.uk/government/collections/uk-andean-countries-trade-agreement,TRUE,TRUE,ANDEAN-COUNTRIES
PE,ANDEAN_COUNTRIES,https://www.gov.uk/government/collections/uk-andean-countries-trade-agreement,TRUE,TRUE,ANDEAN-COUNTRIES
AG,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRUE,TRUE,CARIFORUM
BB,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRUE,TRUE,CARIFORUM
BZ,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRUE,TRUE,CARIFORUM
DM,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRUE,TRUE,CARIFORUM
DO,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRUE,TRUE,CARIFORUM
GD,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRUE,TRUE,CARIFORUM
GY,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRUE,TRUE,CARIFORUM
JM,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRUE,TRUE,CARIFORUM
KN,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRUE,TRUE,CARIFORUM
LC,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRUE,TRUE,CARIFORUM
VC,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRUE,TRUE,CARIFORUM
SR,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRUE,TRUE,CARIFORUM
BS,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRUE,TRUE,CARIFORUM
TT,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/cariforum-uk-economic-partnership-agreement,TRUE,TRUE,CARIFORUM
CR,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-central-america-association-agreement,TRUE,TRUE,CENTRAL-AMERICA
SV,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-central-america-association-agreement,TRUE,TRUE,CENTRAL-AMERICA
GT,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-central-america-association-agreement,TRUE,TRUE,CENTRAL-AMERICA
HN,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-central-america-association-agreement,TRUE,TRUE,CENTRAL-AMERICA
NI,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-central-america-association-agreement,TRUE,TRUE,CENTRAL-AMERICA
PA,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-central-america-association-agreement,TRUE,TRUE,CENTRAL-AMERICA
CL,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-chile-association-agreement,TRUE,TRUE,CHILE
MG,WTO,,TRUE,TRUE,WTO
MU,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/esa-uk-economic-partnership-agreement-epa--2,TRUE,TRUE,ESA
SC,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/esa-uk-economic-partnership-agreement-epa--2,TRUE,TRUE,ESA
ZW,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/esa-uk-economic-partnership-agreement-epa--2,TRUE,TRUE,ESA
CI,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-cote-divoire-stepping-stone-economic-partnership-agreement,TRUE,TRUE,EU-AGR-SIGNED-NO-LINK
UA,EU_AGR_SIGNED_LINK,https://www.gov.uk/government/collections/uk-ukraine-political-free-trade-and-strategic-partnership-agreement,TRUE,TRUE,EU-AGR-SIGNED-NO-LINK
AT,EU_MEMBER,https://www.gov.uk/government/publications/agreements-reached-between-the-united-kingdom-of-great-britain-and-northern-ireland-and-the-european-union,TRUE,TRUE,EU-MEMBER
BE,EU_MEMBER,https://www.gov.uk/government/publications/agreements-reached-between-the-united-kingdom-of-great-britain-and-northern-ireland-and-the-european-union,TRUE,TRUE,EU-MEMBER
BG,EU_MEMBER,https://www.gov.uk/government/publications/agreements-reached-between-the-united-kingdom-of-great-britain-and-northern-ireland-and-the-european-union,TRUE,TRUE,EU-MEMBER
HR,EU_MEMBER,https://www.gov.uk/government/publications/agreements-reached-between-the-united-kingdom-of-great-britain-and-northern-ireland-and-the-european-union,TRUE,TRUE,EU-MEMBER
CY,EU_MEMBER,https://www.gov.uk/government/publications/agreements-reached-between-the-united-kingdom-of-great-britain-and-northern-ireland-and-the-european-union,TRUE,TRUE,EU-MEMBER
CZ,EU_MEMBER,https://www.gov.uk/government/publications/agreements-reached-between-the-united-kingdom-of-great-britain-and-northern-ireland-and-the-european-union,TRUE,TRUE,EU-MEMBER
DK,EU_MEMBER,https://www.gov.uk/government/publications/agreements-reached-between-the-united-kingdom-of-great-britain-and-northern-ireland-and-the-european-union,TRUE,TRUE,EU-MEMBER
EE,EU_MEMBER,https://www.gov.uk/government/publications/agreements-reached-between-the-united-kingdom-of-great-britain-and-northern-ireland-and-the-european-union,TRUE,TRUE,EU-MEMBER
FI,EU_MEMBER,https://www.gov.uk/government/publications/agreements-reached-between-the-united-kingdom-of-great-britain-and-northern-ireland-and-the-european-union,TRUE,TRUE,EU-MEMBER
