1,AF,5 - CITES - Endangered Species Protection
1,AF,25 - Plant health control
1,AF,37 - Voluntary - Products from organic production
1,AF,51 - Health control of live animals
1,AL,5 - CITES - Endangered Species Protection
1,AL,25 - Plant health control
1,AL,37 - Voluntary - Products from organic production
1,AL,51 - Health control of live animals
1,BZ,5 - CITES - Endangered Species Protection
1,BZ,25 - Plant health control
1,BZ,37 - Voluntary - Products from organic production
1,BZ,51 - Health control of live animals
1,CH,5 - CITES - Endangered Species Protection
1,CH,25 - Plant health control
1,CH,37 - Voluntary - Products from organic production
1,CH,51 - Health control of live animals
1,CN,5 - CITES - Endangered Species Protection
1,CN,25 - Plant health control
1,CN,37 - Voluntary - Products from organic production
1,CN,51 - Health control of live animals
1,KP,5 - CITES - Endangered Species Protection
1,KP,25 - Plant health control
1,KP,37 - Voluntary - Products from organic production
1,KP,51 - Health control of live animals
11,AF,23 - Labelling of textiles
11,AF,24 - Technical standards for personal protective equipment (Only required for Personal Protective Equipment falling under the scope of Directive 89/686/EEC)
11,AL,23 - Labelling of textiles
11,AL,24 - Technical standards for personal protective equipment (Only required for Personal Protective Equipment falling under the scope of Directive 89/686/EEC)
11,BZ,23 - Labelling of textiles
11,BZ,24 - Technical standards for personal protective equipment (Only required for Personal Protective Equipment falling under the scope of Directive 89/686/EEC)
11,CH,23 - Labelling of textiles
11,CH,24 - Technical standards for personal protective equipment (Only required for Personal Protective Equipment falling under the scope of Directive 89/686/EEC)
11,CN,23 - Labelling of textiles
11,CN,24 - Technical standards for personal protective equipment (Only required for Personal Protective Equipment falling under the scope of Directive 89/686/EEC)
11,KP,23 - Labelling of textiles
11,KP,24 - Technical standards for personal protective equipment (Only required for Personal Protective Equipment falling under the scope of Directive 89/686/EEC)
12,AF,4 - Import requirements for seal products
12,AF,5 - CITES - Endangered Species Protection
12,AF,19 - Prohibition of products containing fluorinated greenhouse gases (Only required for footwear containing fluorinated greenhouse gases)
12,AF,20 - Labelling of footwear
12,AF,21 - Restriction on the use of certain chemical substances in textile and leather products
12,AF,22 - Voluntary - Eco-label for footwear
12,AL,4 - Import requirements for seal products
12,AL,5 - CITES - Endangered Species Protection
12,AL,19 - Prohibition of products containing fluorinated greenhouse gases (Only required for footwear containing fluorinated greenhouse gases)
12,AL,20 - Labelling of footwear
12,AL,21 - Restriction on the use of certain chemical substances in textile and leather products
12,AL,22 - Voluntary - Eco-label for footwear
12,BZ,4 - Import requirements for seal products
12,BZ,5 - CITES - Endangered Species Protection
12,BZ,19 - Prohibition of products containing fluorinated greenhouse gases (Only required for footwear containing fluorinated greenhouse gases)
12,BZ,20 - Labelling of footwear
12,BZ,21 - Restriction on the use of certain chemical substances in textile and leather products
12,BZ,22 - Voluntary - Eco-label for footwear
12,CH,4 - Import requirements for seal products
12,CH,5 - CITES - Endangered Species Protection
12,CH,19 - Prohibition of products containing fluorinated greenhouse gases (Only required for footwear containing fluorinated greenhouse gases)
12,CH,20 - Labelling of footwear
12,CH,21 - Restriction on the use of certain chemical substances in textile and leather products
12,CH,22 - Voluntary - Eco-label for footwear
12,CN,4 - Import requirements for seal products
12,CN,5 - CITES - Endangered Species Protection
12,CN,19 - Prohibition of products containing fluorinated greenhouse gases (Only required for footwear containing fluorinated greenhouse gases)
